tfidf_phẩm,category_Thiết bị,tfidf_tháng,tag_iphone,tfidf_dụng,tfidf_học,tag_tàu_vũ_trụ,tfidf_dùng,category_Tin tức,category_Trắc nghiệm,tfidf_deepseek,tfidf_biết,tfidf_cứu,tag_apple,tfidf_khoa,tfidf_đất,category_Nhịp sống số,tag_trái_đất,tfidf_sản,tfidf_usd,tag_mặt_trăng,tfidf_đồng,tfidf_đầu,tfidf_triệu,tag_nasa,category_Thế giới tự nhiên,tfidf_tôi,tag_tiktok,tfidf_việc,tag_ai,tfidf_bản,tfidf_việt,tfidf_vật,tfidf_thiết,category_Khoa học,tag_deepseek,tfidf_tàu,tag_pi_network,tfidf_tin,tfidf_thông,category_Chuyển đổi số,tfidf_ngày,text_complexity,category_AI,tag_tech_awards,category_Vũ trụ,tfidf_iphone,tfidf_bay,tfidf_giá,tag_elon_musk,category_Khác,tfidf_hình,tfidf_ông,tag_mỹ,tfidf_mặt,tag_iphone_17,tag_openai,tfidf_phần,tag_samsung,title_content_ratio,tfidf_nghiên,desc_content_ratio,tag_google,tfidf_thành,tfidf_apple,tfidf_nhận,tag_sam_altman,comments_per_content_length,is_weekend,group,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10
0.0,0.0,0.0198060843965278,0,0.0149829495803837,0.0742232114854724,0,0.0584555718911786,0.0,0.0,0.0625480385992542,0.0489988518171285,0.0194457148882683,0,0.0334901318394478,0.0400863378989687,0.0,0,0.0,0.0,0,0.0087899546983864,0.0289553149893431,0.0,0,0.0,0.0351329709713324,0,0.0082644399183654,0,0.0406105351322075,0.0,0.0,0.0088995143221688,0.0,0,0.0180909046246366,0,0.0,0.0231227965490066,0.0,0.0088402556667655,4.427152317880795,1.0,0,0.0,0.0,0.016407577314311,0.0094068007329245,1,0.0,0.0927763602282155,0.0335666664941826,0,0.0,0,0,0.0,0,0.011967090501121914,0.0199494057609908,0.028671154325604586,0,0.0311633408063495,0.0,0.0088995143221688,0,0.029419097481924707,0,Công nghệ,-0.8190312540227105,0.7433794184442569,1.2363527437397759,-1.5857300769052665,-0.646279146402143,-1.13984287603729,0.12143434347907257,-0.900327921575381,-0.7853984563479337,0.3367748426171376
0.1172254293542149,1.0,0.0,0,0.0189043079809461,0.0,0,0.0245848818197089,0.0,0.0,0.0,0.0206076331520302,0.0245350744314577,0,0.0,0.0,0.0,0,0.1171762070535185,0.0,0,0.0665428431960078,0.0548003104435958,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0323181939757139,0.0,0.112287075868817,0.0,0,0.0,0,0.0,0.0,0.0,0.0223078793475536,4.603225806451613,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0564690415057319,0,0.0,0,0,0.0,0,0.043447792571829014,0.0251705919798585,0.09110021023125438,0,0.0196597268501029,0.0,0.0,0,0.0,0,Công nghệ,0.45223491394456233,1.2849671707812431,-1.881938468373847,2.5731056207791365,0.14348849247747164,0.9352043175443624,-1.2490722427752934,-0.845481060145584,0.058678259971495526,-0.29574510650275343
0.0279612445728194,1.0,0.0476855443240928,0,0.0,0.0,0,0.0234564768802027,0.0,0.0,0.0,0.0196617772715418,0.0234089555677332,0,0.0,0.0,0.0,0,0.0223596030423646,0.0318132961902079,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0488873881960107,0.0,0.0,0.0214266573935774,0.0,0,0.0,0,0.0655917606582738,0.0371139533912767,0.0,0.0,4.443708609271523,0.0,0,0.0,0.5819209366061127,0.0,0.0226480107989654,0,0.0,0.0812255677565454,0.0,0,0.0,1,0,0.0444570706164885,0,0.027570789865871834,0.0240153039240258,0.10581222056631892,0,0.0,0.169791086983799,0.0,0,0.030551415797317436,1,Công nghệ,-4.6167219663386705,4.4584601490869735,-3.879630843578606,2.1576359053543355,1.727752009268803,-2.4951303914317,6.851244015995022,0.5719429301972937,-0.7819020840253329,1.5755839979389523
0.0479882659694912,0.0,0.0272799800686624,0,0.0,0.0,0,0.0134189979551029,0.0,0.0,0.0,0.0337443705226496,0.0267836238578206,0,0.0,0.0,0.0,0,0.0895404831357896,0.0,0,0.0726412502872494,0.0199408525172597,0.0,0,0.0,0.0161301737496865,0,0.0455322216623879,0,0.0,0.0,0.0158456371424984,0.0367733321441521,0.0,0,0.0,0,0.0750475620563329,0.0424643536373244,0.0,0.0243523145275016,4.552264808362369,0.0,0,0.0,0.0,0.0,0.0129564901050834,0,0.0,0.0,0.1541105542115249,0,0.0,0,0,0.0127165162683921,0,0.008419441255262151,0.0274773842545524,0.04975124378109453,0,0.0214614685833405,0.0,0.012257777381384,0,0.011481056257175661,0,Công nghệ,-0.703082976584588,0.6777548436683953,-1.185654899440003,-1.0543585792138253,1.3021111426463106,-0.6145715981052864,-0.4202905445520235,0.5457675740421307,0.34252120956670945,-0.4596442927276316
0.0,0.0,0.0145797218813309,0,0.0,0.0409780812400422,0,0.0,0.0,0.0,0.0,0.0360692006403609,0.0,0,0.0164352461332154,0.0,1.0,0,0.0,0.0583609582932609,0,0.0388229472175043,0.0213146844716548,0.0681498874158329,0,0.0,0.1724146766794218,0,0.0730037698127922,0,0.0,0.0,0.0169373278124571,0.0131022812079797,0.0,0,0.0,0,0.0,0.01134748750447,0.0,0.0650751892200849,4.583129584352078,0.0,0,0.0,0.0,0.0,0.0553965279490312,0,0.0,0.0869207160189333,0.0,0,0.0,0,0,0.0,0,0.012803414243798347,0.0,0.027473993064817286,0,0.0229400639093187,0.0,0.0393068436239392,0,0.009869298479594559,0,Công nghệ,-0.30754498417277276,1.008613648470079,1.7585284490700317,-2.0089251499381775,-1.3447757561958895,1.1582281824661085,0.4753850702802106,3.7437960843137197,0.5137123266752179,0.8520857080308507
0.0,0.0,0.0450384306362209,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0185703152680958,0.0,1,0.0,0.0,1.0,0,0.1478286578177366,0.030047280660867,0,0.0,0.0987652521004666,0.0789460526637645,0,0.0,0.0,0,0.0375861676198623,0,0.0,0.0,0.0,0.0202372235960644,0.0,0,0.0,0,0.0206502131452214,0.0175268442369903,0.0,0.0201024712246444,4.690625,0.0,0,0.0,0.2959478403685682,0.0,0.0213907773912569,0,0.0,0.0,0.0,0,0.0,0,0,0.0419891755380184,0,0.03597601598934044,0.0,0.09127248500999334,0,0.0354322423150367,0.2806399162215972,0.0202372235960644,0,0.0313124583610926,0,Công nghệ,-1.05628014450238,4.006216318345989,-3.0418336082670137,0.7054802699938871,2.7281406499252436,-0.44251687800863176,4.498732254176853,1.971866708912898,2.528708420266664,-1.871312539264216
0.0286597981205329,0.0,0.0,0,0.110923437686241,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0229182112255602,0.0,0,0.0216915898751086,0.0357275343847174,0.0,0,0.0,0.0,0,0.040789480129987,0,0.0,0.0632103747500334,0.0,0.109809789349415,0.0,0,0.0,0,0.1568710135867441,0.0380411683349331,0.0,0.0218157211151253,4.587234042553192,0.0,0,0.0,0.0,0.0,0.0696414727505689,0,0.0,0.0,0.0,0,0.0,0,0,0.02278386903667,0,0.019016697588126158,0.0,0.07467532467532467,0,0.0769039694861752,0.0,0.021961957869883,0,0.0018552875695732839,0,Công nghệ,4.41471795027294,-0.013689674157582439,-1.881009979019912,-0.24828717177093543,1.9212770087871902,1.530345998141184,-0.06168788663760638,0.9902496116181002,-0.88443297812831,0.6947229410732633
0.0300464096634565,0.0,0.0128104043800269,0,0.0290725272730716,0.0240034661692104,0,0.0126028530627187,0.0,0.0,0.0,0.0105640114314985,0.0377319614806497,0,0.0144407520778128,0.0,0.0,0,0.0,0.0,0,0.0113705336111956,0.0,0.0,0,0.0,0.0151491348551936,0,0.0320722102993538,0,0.0131332717441129,0.0,0.0595276151796789,0.0115122580486238,0.0,0,0.0,0,0.0,0.0,0.0,0.0114356020752839,4.660026560424967,1.0,0,0.0,0.0,0.0,0.0486738999586302,0,0.0,0.1200138975110949,0.0,0,0.0,0,0,0.04777238554963,0,0.010829296095753777,0.0387093102033335,0.04075235109717868,1,0.0201561797662499,0.0,0.0230245160972476,0,0.002279851809632374,0,Công nghệ,0.9939968707406864,0.6205392394703657,3.7319496884202428,0.6320618845985155,-3.214046418683127,-0.9723019455692131,0.2947312918880116,3.0305698955749163,-3.816388828241979,2.429633801834172
0.0,0.0,0.0147445864476782,0,0.0223080333200945,0.0552552708683657,0,0.0145056979434908,0.0,0.0,0.0,0.1094311917475145,0.0,0,0.0166210925950764,0.0,0.0,0,0.0138273812186451,0.0196736307621476,0,0.0261746328707465,0.053889266605237,0.0,0,0.0,0.2266735993725969,0,0.0246097605924257,0,0.0755810101021636,0.0,0.0513865551392757,0.0132504391719721,0.0,0,0.0,0,0.0,0.0,0.0,0.0921354649430225,4.43205574912892,0.0,0,0.0,0.0,0.0,0.0140057351898394,0,0.0,0.0376729705780993,0.2165679958971986,0,0.0,0,0,0.0274926554873849,0,0.014675052410901468,0.0,0.03747379454926625,0,0.0347991983159149,0.0,0.0530017566878887,0,0.006289308176100629,1,Công nghệ,1.2309884911919184,1.1918340713515951,2.2418106858434723,-2.7163270381176825,1.4838863977777461,-4.695060009712692,-1.6250853783849468,0.6012755383026726,-0.6470839814951326,0.29228055330962377
0.0,1.0,0.0962210722925031,0,0.010398503567071,0.0,0,0.0946621199195193,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.146410224174121,0.0100478195093358,0.1124413637162976,0,0.0,0.0,0,0.0,0,0.0563692472122846,0.017776945639929,0.015968635431253,0.0370587770830244,0.0,0,0.0,0,0.0,0.0213969869422151,0.0,0.0,4.457089552238806,0.0,0,0.0,0.0,0.0,0.1175135582031151,0,0.0,0.0468282749169294,0.0,0,0.0,0,0,0.0128152254415144,0,0.02385935537881959,0.0,0.0640435328589368,0,0.0,0.0,0.0123529256943414,0,0.0,0,Công nghệ,-1.8548102675045237,3.0391518268717146,-1.2718675684738934,0.9835924765150899,-0.008524417575211602,0.1649055366470205,-0.3226929435650967,-1.5307665726424178,1.5297692639383818,1.3227618421626033
